Designator,Mid X,Mid Y,Layer,Rotation
C1,152.63,-99.055,T,90.0
C10,145.542,-84.696,T,90.0
C11,184.545,-102.87,T,180.0
C12,178.19,-90.17,T,180.0
C13,154.432,-78.933,T,90.0
C14,184.34,-79.61,T,180.0
C15,162.918,-73.66,T,90.0
C16,152.33,-73.66,T,90.0
C17,148.082,-77.864,T,270.0
C18,149.032,-99.568,T,180.0
C19,153.416,-83.058,T,90.0
C2,154.6,-99.055,T,90.0
C20,144.022,-84.701,T,90.0
C21,168.14,-80.33,T,270.0
C22,168.11,-100.83,T,270.0
C23,166.17,-80.33,T,270.0
C24,166.17,-100.83,T,270.0
C25,160.82,-90.67,T,270.0
C26,158.85,-90.67,T,270.0
C3,156.17,-99.055,T,90.0
C4,155.969,-82.042,T,180.0
C5,160.795,-100.33,T,0.0
C6,163.576,-97.409,T,180.0
C7,170.08,-80.33,T,270.0
C8,170.08,-100.83,T,270.0
C9,162.76,-90.67,T,270.0
D1,145.034,-68.326,T,90.0
D2,146.558,-68.3005,T,90.0
D3,139.827,-78.867,T,0.0
D4,169.368,-72.009,T,90.0
D5,136.271,-78.867,T,0.0
D6,174.185,-74.472,T,180.0
D7,144.526,-79.502,T,0.0
HS1,148.59,-106.426,T,0.0
IC1,152.09,-90.94,T,270.0
J1,131.88,-74.11,T,0.0
J2,132.715,-79.883,T,270.0
J3,131.88,-68.58,T,0.0
J4,133.35,-95.25,T,270.0
J6,140.494,-74.168,T,0.0
Q1,175.45,-80.11,T,180.0
Q2,175.45,-85.86,T,0.0
Q3,175.45,-97.42,T,180.0
Q4,175.45,-103.27,T,0.0
Q5,167.43,-87.63,T,180.0
Q6,167.44,-93.98,T,0.0
Q7,174.117,-69.85,T,0.0
R1,162.369,-77.47,T,180.0
R10,183.84,-104.91,T,180.0
R11,162.385,-81.98,T,180.0
R12,160.21,-96.393,T,180.0
R13,160.21,-94.869,T,180.0
R14,174.372,-90.17,T,180.0
R15,174.372,-92.51,T,180.0
R16,150.876,-80.962,T,90.0
R17,149.606,-77.887,T,90.0
R18,151.13,-77.951,T,90.0
R19,158.305,-78.486,T,0.0
R2,162.385,-79.04,T,180.0
R20,158.305,-76.835,T,0.0
R21,141.732,-85.344,T,180.0
R22,141.732,-83.82,T,0.0
R23,145.097,-100.076,T,0.0
R24,148.05,-97.79,T,0.0
R25,152.654,-79.121,T,90.0
R26,145.065,-98.76,T,0.0
R27,169.037,-75.184,T,180.0
R3,162.385,-80.51,T,180.0
R4,178.19,-93.18,T,180.0
R5,162.115,-98.83,T,180.0
R6,160.765,-101.85,T,180.0
R7,183.762,-77.47,T,180.0
R8,183.762,-81.78,T,180.0
R9,183.84,-100.83,T,180.0
U2,185.547,-69.85,T,180.0
U3,185.42,-96.52,T,90.0
